"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","Species","sp_idx"
"alpha[12]",-0.0106570247818319,1.09244977260702e-05,0.00055435165125619,-0.0117396480505863,-0.0109551215315035,-0.0106616770801327,-0.0103619708591259,-0.00959255653138689,2574.94367607341,1.00017649531284,"Halichoeres californica",12
"alpha[31]",-0.00746399749694239,9.22832163381811e-05,0.00324104116578671,-0.0137509580749442,-0.00949127406500219,-0.0074400535610057,-0.00545150509844964,-0.000746260414017144,1233.45596441083,1.00313212574234,"Ophiodon elongatus",31
"alpha[52]",-0.00595536022593083,0.000120759494898124,0.0058372090091934,-0.0175970701566164,-0.00952353216688212,-0.0059564463874252,-0.0025454508385213,0.00561949137262497,2336.51144417831,1.00074571259734,"Triphoturus mexicanus",52
"alpha[41]",-0.00494428202060012,6.1048744567705e-05,0.00196270390401,-0.00885298517899608,-0.00617873393961405,-0.00495797173702849,-0.0037079626657231,-0.00106972479422661,1033.60856141438,1.00050260122725,"Sebastes paucispinis",41
"alpha[19]",-0.0047687321608464,6.37255875313155e-06,0.000402916849051085,-0.00559834132653904,-0.00498512039335464,-0.00476100865653301,-0.00454561335481531,-0.00396625214380274,3997.63520882482,0.999531452865699,"Menticirrhus undulatus",19
"alpha[33]",-0.000433798598006056,0.000113936537873954,0.00370273803459779,-0.00815856667834546,-0.00252885825890392,-0.000423109392012069,0.00178042026501318,0.00685065601474261,1056.13622033826,1.00092771246305,"Paralabrax maculatofasciatus",33
"alpha[56]",0,NA,0,0,0,0,0,0,NA,NA,"zRefSpecies_Citharichthys sordidus",56
"alpha[15]",0.000222478554444567,0.0004502897362691,0.0189740790668674,-0.0382977213717852,-0.011614554649076,0.000279360466607881,0.0115990309791048,0.0389771215355271,1775.56802751454,0.999504347873558,"Hypsopsetta guttulata",15
"alpha[14]",0.00276888904858839,0.000160203917759513,0.00869138636097199,-0.0143489756434877,-0.00234322845766489,0.00274953463163146,0.00785750316425729,0.0202373286212225,2943.28181672014,1.00066884116393,"Hippoglossus stenolepis",14
"alpha[1]",0.00383973544311675,7.49619623737641e-06,0.000457784418015158,0.00291294448298041,0.00358788601617877,0.00383219006918952,0.00408295850189187,0.00479712325955708,3729.40988919587,1.00122356449366,"Atractoscion nobilis",1
"alpha[2]",0.00878763642170755,0.000211267660189728,0.00909278253280951,-0.0111503507084851,0.00550077612880859,0.00943797641478421,0.0131051958768001,0.0239240553626255,1852.36925401603,0.999969262852921,"Bathylagoides wesethi",2
"alpha[17]",0.011930055180846,6.7115554171553e-05,0.00399296559581115,0.00386689433736722,0.00958047471888873,0.0119962447348807,0.0143051139132938,0.0199718715867607,3539.52329949639,1.00053565920669,"Leuroglossus stilbius",17
"alpha[4]",0.0147423278663681,1.04251073257972e-05,0.000531235203989265,0.0136906640515552,0.0144621460706875,0.0147443595822797,0.015010381551579,0.0158405330914973,2596.64527419818,0.999461557649049,"Bodianus pulcher",4
"alpha[16]",0.0319381177029726,0.000925763030536441,0.035898802138736,-0.0431327154686886,0.00958529420929761,0.0334303713786438,0.0558424041449408,0.100550658819015,1503.6967029854,1.00041930181874,"Hypsypops rubicundus",16
