Seq_number,Seq_number_2,Temp. Field Bottle ID,Sample_date,LabID,Sample_ID,Month,New_name,Site_code,Site,Bio_rep,Depth_code,Depth,Tech_rep,PCR_Cycles,Index Cycles,Project,Sample_Control,Control_Type,Date_Sampled,River
Kenai.seqrun1.020.S20.L001,c19_fishcard_Kenai.seqrun1.020.S20.L001,"1, 1B",4/24/21,52386_90-206,Kenai_seqrun1_020,Apr,Dock_5m_Apr_1,1,Dock,1,B,5m,NA,39,8,Kenai,Sample,NA,24-Apr,Kenai
Kenai.seqrun1.021.S21.L001,c19_fishcard_Kenai.seqrun1.021.S21.L001,"2, 1B",4/24/21,52386_96-207-8-9,Kenai_seqrun1_021,Apr,Bridge_5m_Apr_1,2,Bridge,1,B,5m,NA,39,8,Kenai,Sample,NA,24-Apr,Kenai
Kenai.seqrun1.022.S22.L001,c19_fishcard_Kenai.seqrun1.022.S22.L001,"2, 2B",4/24/21,52386_98-212,Kenai_seqrun1_022,Apr,Bridge_5m_Apr_2,2,Bridge,2,B,5m,NA,39,8,Kenai,Sample,NA,24-Apr,Kenai
Kenai.seqrun1.023.S23.L001,c19_fishcard_Kenai.seqrun1.023.S23.L001,"2, 3B",4/24/21,52386_99-210-11,Kenai_seqrun1_023,Apr,Bridge_5m_Apr_3,2,Bridge,3,B,5m,NA,39,8,Kenai,Sample,NA,24-Apr,Kenai
Kenai.seqrun1.024.S24.L001,c19_fishcard_Kenai.seqrun1.024.S24.L001,"1,1A",11/14/20,52386_002,Kenai_seqrun1_024,Nov.20,Dock_Surface_Nov.20_1,1,Dock,1,A,Surface,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.025.S25.L001,c19_fishcard_Kenai.seqrun1.025.S25.L001,"1, 2A",11/14/20,52386_003,Kenai_seqrun1_025,Nov.20,Dock_Surface_Nov.20_2,1,Dock,2,A,Surface,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.026.S26.L001,c19_fishcard_Kenai.seqrun1.026.S26.L001,"1, 3A",11/14/20,52386_004,Kenai_seqrun1_026,Nov.20,Dock_Surface_Nov.20_3,1,Dock,3,A,Surface,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.027.S27.L001,c19_fishcard_Kenai.seqrun1.027.S27.L001,"1, 1B",11/14/20,52386_005,Kenai_seqrun1_027,Nov.20,Dock_5m_Nov.20_1,1,Dock,1,B,5m,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.028.S28.L001,c19_fishcard_Kenai.seqrun1.028.S28.L001,"1, 2B",11/14/20,52386_006,Kenai_seqrun1_028,Nov.20,Dock_5m_Nov.20_2,1,Dock,2,B,5m,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.029.S29.L001,c19_fishcard_Kenai.seqrun1.029.S29.L001,"1, 3B",11/14/20,52386_007,Kenai_seqrun1_029,Nov.20,Dock_5m_Nov.20_3,1,Dock,3,B,5m,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.030.S30.L001,c19_fishcard_Kenai.seqrun1.030.S30.L001,"2, 3A",11/14/20,52386_010,Kenai_seqrun1_030,Nov.20,Bridge_Surface_Nov.20_3,2,Bridge,3,A,Surface,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.031.S31.L001,c19_fishcard_Kenai.seqrun1.031.S31.L001,"2, 1B",11/14/20,52386_011,Kenai_seqrun1_031,Nov.20,Bridge_5m_Nov.20_1,2,Bridge,1,B,5m,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.032.S32.L001,c19_fishcard_Kenai.seqrun1.032.S32.L001,"2, 3B",11/14/20,52386_014,Kenai_seqrun1_032,Nov.20,Bridge_5m_Nov.20_3,2,Bridge,3,B,5m,NA,39,8,Kenai,Sample,NA,14-Nov,Kenai
Kenai.seqrun1.033.S33.L001,c19_fishcard_Kenai.seqrun1.033.S33.L001,"1,1A",11/25/20,52386_016,Kenai_seqrun1_033,Nov.202,Dock_Surface_Nov.202_1,1,Dock,1,A,Surface,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.034.S34.L001,c19_fishcard_Kenai.seqrun1.034.S34.L001,"1, 2A",11/25/20,52386_017,Kenai_seqrun1_034,Nov.202,Dock_Surface_Nov.202_2,1,Dock,2,A,Surface,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.035.S35.L001,c19_fishcard_Kenai.seqrun1.035.S35.L001,"1, 3A",11/25/20,52386_018,Kenai_seqrun1_035,Nov.202,Dock_Surface_Nov.202_3,1,Dock,3,A,Surface,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.036.S36.L001,c19_fishcard_Kenai.seqrun1.036.S36.L001,"1, 1B",11/25/20,52386_019,Kenai_seqrun1_036,Nov.202,Dock_5m_Nov.202_1,1,Dock,1,B,5m,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.037.S37.L001,c19_fishcard_Kenai.seqrun1.037.S37.L001,"1, 2B",11/25/20,52386_020,Kenai_seqrun1_037,Nov.202,Dock_5m_Nov.202_2,1,Dock,2,B,5m,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.038.S38.L001,c19_fishcard_Kenai.seqrun1.038.S38.L001,"1, 3B",11/25/20,52386_021,Kenai_seqrun1_038,Nov.202,Dock_5m_Nov.202_3,1,Dock,3,B,5m,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.039.S39.L001,c19_fishcard_Kenai.seqrun1.039.S39.L001,"2, 1A",11/25/20,52386_022,Kenai_seqrun1_039,Nov.202,Bridge_Surface_Nov.202_1,2,Bridge,1,A,Surface,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.040.S40.L001,c19_fishcard_Kenai.seqrun1.040.S40.L001,"2, 2A",11/25/20,52386_023,Kenai_seqrun1_040,Nov.202,Bridge_Surface_Nov.202_2,2,Bridge,2,A,Surface,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
